Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4537	40425	0.847534722	40425	0.847534722	0.041	-05:00	48.75	4547.88	5754.52	-2.56	3.97	20140906t012027_803750z
4538	40425	0.847581019	40425	0.847581019	0.214	-05:00	2328.72	4992.25	5389	-2.31	1.99	20140906t012031_200250z
4539	40425	0.847592593	40425	0.847592593	0.301	-05:00	371.31	4665.1	5706.88	-2.73	1.94	20140906t012032_094750z
4540	40425	0.847615741	40425	0.847615741	0.878	-05:00	248.74	4685.4	5677.77	-2.8	1.6	20140906t012034_658750z
4541	40425	0.847627315	40425	0.847627315	0.503	-05:00	388.76	4642.08	5682.42	-2.89	1.95	20140906t012035_295000z
4542	40425	0.847627315	40425	0.847627315	0.999	-05:00	169.88	4716.88	5705.12	-2.86	1.4	20140906t012035_781250z
4543	40425	0.847673611	40425	0.847673611	0.334	-05:00	268.76	4789.63	5548.76	-2.89	1.15	20140906t012039_148000z
4544	40425	0.847731481	40425	0.847731481	0.753	-05:00	-157.7	4826.45	5809.5	-2.75	0.56	20140906t012044_556000z
4545	40425	0.8478125	40425	0.8478125	0.537	-05:00	268.76	4682.09	5688.94	-2.85	1.91	20140906t012051_329250z
4546	40425	0.847881944	40425	0.847881944	0.799	-05:00	682.3	5040.54	5829	-2.7	1.52	20140906t012057_668250z
4547	40425	0.848159722	40425	0.848159722	0.857	-05:00	358.6	4572.11	5725.07	-2.49	0.92	20140906t012121_641250z
4548	40425	0.848229167	40425	0.848229167	0.966	-05:00	388.77	4682.07	5732.66	-2.85	1.8	20140906t012127_762000z
4549	40425	0.848368056	40425	0.848368056	0.909	-05:00	268.76	4687.53	5721.62	-2.91	0.79	20140906t012139_701750z
4550	40425	0.8484375	40425	0.8484375	0.653	-05:00	288.77	4702.09	5674.95	-2.98	2.59	20140906t012145_445250z
4551	40425	0.8484375	40425	0.8484375	0.997	-05:00	-456.99	4688.53	5503.77	-2.76	1.53	20140906t012145_808000z
4552	40425	0.848599537	40425	0.848599537	0.374	-05:00	328.72	4722.12	5642.06	-2.96	2.29	20140906t012159_167250z
4553	40425	0.848634259	40425	0.848634259	0.836	-05:00	488.76	4642.09	5704.43	-2.91	1.84	20140906t012202_633500z
4554	40425	0.848900463	40425	0.848900463	0.804	-05:00	368.73	4722.12	5646.53	-2.82	1.53	20140906t012225_604250z
4555	40425	0.84931713	40425	0.84931713	0.027	-05:00	431.58	4746.4	5604.98	-2.86	2.21	20140906t012301_616500z
4556	40425	0.849340278	40425	0.849340278	0.287	-05:00	128.78	4784.82	5534.96	-2.79	2.6	20140906t012303_067500z
4557	40425	0.849375	40425	0.849375	0.529	-05:00	328.76	4727.67	5739.21	-3.04	1.1	20140906t012306_321500z
4558	40425	0.849525463	40425	0.849525463	0.934	-05:00	321.73	4572.09	5706.37	-3.27	1.01	20140906t012319_724000z
4559	40425	0.849560185	40425	0.849560185	0.358	-05:00	308.76	4642.09	5731.34	-3.04	1.69	20140906t012322_157250z
4560	40425	0.849907407	40425	0.849907407	0.625	-05:00	499.23	4542.09	5726.56	-2.98	1.74	20140906t012352_427750z
4561	40425	0.84994213	40425	0.84994213	0.919	-05:00	375.52	4648.06	5705.12	-2.94	2.16	20140906t012355_736500z
4562	40425	0.849953704	40425	0.849953704	0.902	-05:00	293.83	4644.22	5652.51	-3.11	2.29	20140906t012356_685000z
4563	40425	0.850011574	40425	0.850011574	0.738	-05:00	288.76	4702.46	5632.75	-2.87	2.75	20140906t012401_513000z
4564	40425	0.850277778	40425	0.850277778	0.895	-05:00	533.49	4882.1	5499.54	-2.81	1.44	20140906t012424_725500z
4565	40425	0.850543981	40425	0.850543981	0.486	-05:00	268.77	4667.83	5716.12	-3.19	0.89	20140906t012447_296250z
4566	40425	0.850555556	40425	0.850555556	0.075	-05:00	248.78	4702.08	5693.27	-2.92	2.28	20140906t012448_888000z
4567	40425	0.85099537	40425	0.85099537	0.471	-05:00	-91.26	4602.09	5505.72	-2.78	1.61	20140906t012526_241750z
