Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
164	40406	0.516863426	40406	0.516863426	0.518	-05:00	794.59	4994.52	5854.14	-1.97	1.95	20140817t172417_373000z
165	40406	0.517280093	40406	0.517280093	0.988	-05:00	786.8	4824.71	5875.05	-2.22	1.33	20140817t172453_768500z
166	40406	0.51744213	40406	0.51744213	0.568	-05:00	1008.07	4813.67	5863.6	-2.25	1.31	20140817t172507_344500z
167	40406	0.522546296	40406	0.522546296	0.007	-05:00	-160	4421.85	5772.88	-3.01	2.41	20140817t173228_787000z
168	40406	0.531157407	40406	0.531157407	0.774	-05:00	627.02	4561.85	5469.15	-2.77	1.46	20140817t174452_583500z
169	40406	0.534826389	40406	0.534826389	0.476	-05:00	398.77	4381.84	5795.24	-2.14	1.39	20140817t175009_280750z
170	40406	0.534872685	40406	0.534872685	0.353	-05:00	398.85	4421.86	5800.87	-2.21	1.65	20140817t175013_145750z
171	40406	0.537673611	40406	0.537673611	0.988	-05:00	179.32	4341.84	5770.27	-2.22	1.78	20140817t175415_758500z
172	40406	0.539224537	40406	0.539224537	0.123	-05:00	-32.22	4635.28	5721.3	-2.97	1.38	20140817t175629_905250z
173	40406	0.540856481	40406	0.540856481	0.386	-05:00	191.39	4525.86	5459.21	-2.82	1.12	20140817t175850_166000z
174	40406	0.543402778	40406	0.543402778	0.418	-05:00	-32.22	4538.77	5747.22	-2.04	1.31	20140817t180230_201250z
175	40406	0.546898148	40406	0.546898148	0.531	-05:00	1407.77	4197.99	5451	-1.85	1.07	20140817t180732_414500z
176	40406	0.548009259	40406	0.548009259	0.132	-05:00	821.81	4461.83	5692.95	-1.89	1.22	20140817t180908_959500z
177	40406	0.548113426	40406	0.548113426	0.531	-05:00	87.74	5005.99	5525.93	-1.96	1.15	20140817t180917_287500z
178	40406	0.551111111	40406	0.551111111	0.389	-05:00	254.73	4195.58	5709.23	-2.3	1.97	20140817t181336_170750z
179	40406	0.551400463	40406	0.551400463	0.537	-05:00	275.69	4341.87	5946.48	-2.35	1.68	20140817t181401_319250z
180	40406	0.554131944	40406	0.554131944	0.803	-05:00	543.78	4281.87	5455.39	-2.05	1.92	20140817t181757_631500z
181	40406	0.556886574	40406	0.556886574	0.818	-05:00	87.07	4539.52	5752.75	-2.4	2	20140817t182155_593000z
182	40406	0.559340278	40406	0.559340278	0.023	-05:00	-114.51	4445.32	5908.81	-2.5	1.43	20140817t182527_721500z
183	40406	0.559502315	40406	0.559502315	0.267	-05:00	-209.83	4381.85	5937.05	-3.07	2.31	20140817t182541_038250z
184	40406	0.56056713	40406	0.56056713	0.418	-05:00	286.5	4361.85	5886.95	-2.51	1.87	20140817t182713_204500z
185	40406	0.562511574	40406	0.562511574	0.743	-05:00	640.15	4421.81	5573.63	-2.77	1.02	20140817t183001_546250z
186	40406	0.563761574	40406	0.563761574	0.614	-05:00	-154	4393.48	5940.8	-3.01	1.67	20140817t183149_409250z
187	40406	0.56412037	40406	0.56412037	0.928	-05:00	127.76	4601.85	5850.15	-2.36	1.95	20140817t183220_733500z
188	40406	0.564270833	40406	0.564270833	0.794	-05:00	147.78	4561.73	5456.33	-2.47	1.07	20140817t183233_601250z
189	40406	0.565497685	40406	0.565497685	0.681	-05:00	-5.23	4694.3	5936.16	-2.12	2.16	20140817t183419_480500z
190	40406	0.565520833	40406	0.565520833	0.418	-05:00	812.1	4838.71	5831.45	-2.25	1.36	20140817t183421_274500z
191	40406	0.566898148	40406	0.566898148	0.84	-05:00	47.15	4403.54	5851.9	-2.4	3.6	20140817t183620_602000z
192	40406	0.567118056	40406	0.567118056	0.985	-05:00	115.97	4298.37	5853.25	-2.2	2.98	20140817t183639_763250z
193	40406	0.568055556	40406	0.568055556	0.02	-05:00	810.29	4595.26	5893.18	-2.05	1.92	20140817t183800_845500z
194	40406	0.571770833	40406	0.571770833	0.702	-05:00	-192.17	5033.84	5735.82	-2.21	1.58	20140817t184321_551750z
195	40406	0.575613426	40406	0.575613426	0.25	-05:00	-312.16	5198.83	5819.72	-1.91	3.08	20140817t184853_066000z
196	40406	0.575925926	40406	0.575925926	0.803	-05:00	-36.97	4262.19	5892.93	-2.01	1.99	20140817t184920_591750z
197	40406	0.577685185	40406	0.577685185	0.993	-05:00	54.05	4340.76	5684.88	-2.67	4.27	20140817t185152_780250z
198	40406	0.578194444	40406	0.578194444	0.079	-05:00	452.56	4461.85	5823.18	-2.65	0.52	20140817t185236_931750z
199	40406	0.580844907	40406	0.580844907	0.747	-05:00	-166.41	4444.6	5494.47	-2.74	1.24	20140817t185625_543250z
200	40406	0.593321759	40406	0.593321759	0.338	-05:00	-212.22	5181.85	5819.03	-2.42	2.26	20140817t191423_144500z
201	40406	0.595543981	40406	0.595543981	0.672	-05:00	165.27	4322.86	5545.51	-2.07	2.07	20140817t191735_445750z
202	40406	0.602858796	40406	0.602858796	0.79	-05:00	-16.26	4341.85	5594.36	-2.19	1.67	20140817t192807_585000z
203	40406	0.604189815	40406	0.604189815	0.216	-05:00	107.77	4473.27	5617.3	-2.15	1.46	20140817t193002_977750z
204	40406	0.610902778	40406	0.610902778	0.603	-05:00	67.77	4421.85	5821.97	-2.19	2.96	20140817t193942_372000z
205	40406	0.615115741	40406	0.615115741	0.857	-05:00	520.79	4830.99	5910.77	-2.23	2.41	20140817t194546_676500z
206	40406	0.633946759	40406	0.633946759	0.085	-05:00	207.78	4601.84	5921.42	-2.36	1.67	20140817t201253_898500z
207	40406	0.637268519	40406	0.637268519	0.073	-05:00	87.78	4434.1	5873.03	-2.59	2.75	20140817t201740_843000z
208	40406	0.646458333	40406	0.646458333	0.39	-05:00	715.61	4579.74	5841.94	-2.3	1.75	20140817t203054_299250z
